Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.5.254.223-104.94.102.217-52147-80-6,10.5.254.223,52147,104.94.102.217,80,6,13/09/2023 08:41:28 AM,739493,4,4,111.0,187.0,111.0,0.0,27.75,55.5,165.0,0.0,46.75,79.51257762140528,402.97879763567744,10.8182227553202,105641.85714285716,180516.12329782677,421052.0,0.0,318132.0,106044.0,177022.69936649367,310449.0,2850.0,734568.0,244856.0,218762.07024070693,421052.0,0.0,0,0,0,0,80,104,5.4091113776601,5.4091113776601,0.0,165.0,33.111111111111114,61.40326629024804,3770.3611111111113,0,1,0,0,0,0,0,0,1.0,37.25,27.75,46.75,0,0,0,0,0,0,4,111,4,187,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
10.5.254.223-104.94.102.217-52147-80-6,104.94.102.217,80,10.5.254.223,52147,6,13/09/2023 08:41:29 AM,25543,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.44900755588615,12771.5,17449.274039340435,25110.0,433.0,0,0,0,0,0,433.0,433.0,0.0,433.0,433.0,0,0,0,0,20,40,39.14966918529539,78.29933837059077,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,259,0,0,0,0,0,0,0,0,0,0,No Label
10.5.254.223-77.74.181.38-52148-443-6,10.5.254.223,52148,77.74.181.38,443,6,13/09/2023 08:41:38 AM,738796,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.414214478692359,246265.3333333333,426204.58751910843,738404.0,195.0,197.0,197.0,0.0,197.0,197.0,738404.0,738404.0,0.0,738404.0,738404.0,0,0,0,0,40,64,2.7071072393461795,2.7071072393461795,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
10.5.254.223-113.29.117.26-52149-443-6,10.5.254.223,52149,113.29.117.26,443,6,13/09/2023 08:41:40 AM,204952,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.516764901050003,68317.33333333334,118012.12717908839,204586.0,178.0,188.0,188.0,0.0,188.0,188.0,204586.0,204586.0,0.0,204586.0,204586.0,0,0,0,0,40,56,9.758382450525001,9.758382450525001,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
199.232.21.44-10.5.254.223-443-51951-6,199.232.21.44,443,10.5.254.223,51951,6,13/09/2023 08:41:41 AM,1167,0,2,0.0,51.0,0,0,0,0,51.0,0.0,25.5,36.062445840513924,43701.79948586118,1713.796058269066,1167.0,0.0,1167.0,1167.0,0,0,0,0,0,1167.0,1167.0,0.0,1167.0,1167.0,0,1,0,0,0,40,0.0,1713.796058269066,0.0,51.0,34.0,29.444863728670914,867.0,0,0,0,1,1,0,0,0,0.0,51.0,0.0,25.5,0,0,0,0,0,0,0,0,2,51,-1,513,0,0,0,0,0,0,0,0,0,0,No Label
199.232.21.44-10.5.254.223-443-51951-6,199.232.21.44,443,10.5.254.223,51951,6,13/09/2023 08:41:41 AM,0,1,1,0.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,24.0,16.0,13.856406460551018,192.0,0,0,0,1,1,0,0,0,1.0,24.0,0.0,24.0,0,0,0,0,0,0,1,0,1,24,-1,290,0,0,0,0,0,0,0,0,0,0,No Label
10.5.254.223-35.208.249.213-51971-443-6,35.208.249.213,443,10.5.254.223,51971,6,13/09/2023 08:41:26 AM,20236915,1,2,73.0,0.0,73.0,73.0,73.0,0.0,0.0,0.0,0.0,0.0,3.607269190980938,0.148243939355381,1.01184575E7,1.4308541183867924E7,2.0236124E7,791.0,0,0,0,0,0,2.0236915E7,2.0236915E7,0.0,2.0236915E7,2.0236915E7,0,0,0,0,20,52,0.049414646451793665,0.09882929290358733,0.0,73.0,18.25,36.5,1332.25,0,0,0,0,1,0,0,0,2.0,24.333333333333332,73.0,0.0,0,0,0,0,0,0,1,73,2,0,-1,511,1,0,0,0,0,0,2.0236124E7,0.0,2.0236124E7,2.0236124E7,No Label
10.5.254.223-35.213.89.133-51978-443-6,35.213.89.133,443,10.5.254.223,51978,6,13/09/2023 08:41:47 AM,850,0,2,0.0,73.0,0,0,0,0,73.0,0.0,36.5,51.61879502661797,85882.35294117648,2352.9411764705883,850.0,0.0,850.0,850.0,0,0,0,0,0,850.0,850.0,0.0,850.0,850.0,0,1,0,0,0,40,0.0,2352.9411764705883,0.0,73.0,48.66666666666667,42.14656965084268,1776.3333333333333,0,0,0,1,1,0,0,0,0.0,73.0,0.0,36.5,0,0,0,0,0,0,0,0,2,73,-1,510,0,0,0,0,0,0,0,0,0,0,No Label
10.5.254.223-35.213.89.133-51978-443-6,35.213.89.133,443,10.5.254.223,51978,6,13/09/2023 08:41:48 AM,105243,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.50545879535931,52621.5,73723.66011329064,104752.0,491.0,0,0,0,0,0,491.0,491.0,0.0,491.0,491.0,0,0,0,0,20,40,9.501819598453103,19.003639196906207,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,510,0,0,0,0,0,0,0,0,0,0,No Label
182.156.239.49-10.5.254.223-80-52151-6,10.5.254.223,52151,182.156.239.49,80,6,13/09/2023 08:41:59 AM,202780,4,6,111.0,187.0,111.0,0.0,27.75,55.5,165.0,0.0,31.166666666666668,66.15260135978528,1469.5729361870008,49.31452805996647,22531.11111111111,31054.732475278404,92904.0,0.0,109728.0,36576.0,57840.413302465255,103346.0,1835.0,198128.0,39625.6,33641.40479082287,92904.0,0.0,0,0,0,0,80,144,19.725811223986586,29.58871683597988,0.0,165.0,27.090909090909093,56.53044232173413,3195.6909090909094,0,1,0,0,0,0,0,0,1.0,29.8,27.75,31.166666666666668,0,0,0,0,0,0,4,111,6,187,-1,4096,1,0,0,0,0,0,0,0,0,0,No Label
